CDIO	Beskrivning	Introducera	Undervisa	Använda	Examinera	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen		X		PRJ1	Enklare analys av algoritmer
1.2	Kunskaper i teknikvetenskapliga ämnen	X	X		DAT1, LAB1, PRJ1	I: Hur en dator exekverar ett program U: Programmering, datastrukturer, algoritmer. Använda funktionalitet i olika bibliotek.
1.3	Fördjupade kunskaper i något/några tillämpade ämnen		X			Programmering i python
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning	X	X		DAT1, LAB1, PRJ1	I: Att lösa problemet med en algoritm U:Att identifiera och formulera problem.
2.2	Experimenterande o kunskapsbildning	X				I: Att söka information från olika källor, t.ex. angående hur olika funktionalitet i bibliotek fungerar och skall användas. Experimentell metodik, att testa ett program.
2.3	Systemtänkande	X	 			De olika delarna för att köra ett program, dator, interpretator, osv. Utvecklingsmiljö
2.4	Individuella färdigheter och förhållningssätt	X				I: Att söka information från olika källor, t.ex. angående hur olika funktionalitet i bibliotek fungerar och skall användas.  Att planera arbete och hålla deadlines.
2.5	Professionella färdigheter och förhållningssätt					
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp		X		PRJ1	Projektet sker i grupp. Hur skriver man program tillsammans, t.ex. parprogrammering. Enklare verktyg för att samarbeta.
3.2	Förmåga att kommunicera	X	X		LAB1	I: Projektet redovisas i skriftlig rapport. U: Kommentarer och läslig kod för att underlätta för andra att läsa och förstå den skrivna koden. Konventioner och verktyg som kontrollerar dessa.
3.3	Förmåga att kommunicera på främmande språk			X		Kurslitteratur på engelska
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
4.2	Företags och affärsmässiga villkor					
4.3	Att planera system	X				Krav på implementation
4.4	Att utveckla system					
4.5	Att realisera system	X				Implementation och test/verifikation.
4.6	Att ta i drift och använda					
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
5.6	Fördjupad insikt i aktuellt forsknings- och utvecklingsarbete					
