CDIO	Beskrivning	Introducera	Undervisa	Använda	Examinera	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen			X		Grundläggande matematik för modellering.
1.2	Kunskaper i teknikvetenskapliga ämnen	X	X	X	PRJ1	I: System och mjukvaruakitektur. Stacken med hårdvara, operativsystem, nätverk, osv. U: Verktyg och enklare metoder för systemutveckling. A: Programmering, algoritmer, datastrukturer
1.3	Fördjupade kunskaper i något/några tillämpade ämnen			X		Programmering
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X		PRJ1	Problemidentifiering, enklare matematisk modellering.
2.2	Experimenterande o kunskapsbildning					
2.3	Systemtänkande		X		PRJ1, PRS1	Framträdande egenskaper hos system och prioritering av funktionalitet.
2.4	Individuella färdigheter och förhållningssätt		X	X	PRJ1	Planering av tid, sökning och integration av information på egen hand. Förmåga att fatta besult under osäkerhet.
2.5	Professionella färdigheter och förhållningssätt		X		PRJ1, UPG1	Ansvar i grupp, t.ex. pålitlighet och yrkesetik. Rättvisa och mångfald i yrkesrollen.
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp		X	X	PRJ1	U: Hur en grupp fungerar, ansvar och ansvarfördelning, sociala kontrakt. Roller i ett mjukvaruprojekt. Att samarbeta med personer med olika förutsättningar. Plattformar/verktyg för samarbete (bygger till viss del på 1DV001). A: Förmåga att programmera tillsammans från 1DV001.
3.2	Förmåga att kommunicera		X	X	PRS1, PRJ1	Hur man presenterar/visar mjukvaruprojekt. Hur man samlar in feedback. Välkommenterad och dokumenterad kod.
3.3	Förmåga att kommunicera på främmande språk					
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling		X		UPG1	Ingenjörens roll via gästföreläsningar. Reflektion över dess ansvar och roll i samhället. Social  hållbarhet i organisationen.
4.2	Företags och affärsmässiga villkor		X		UPG1	Att arbeta i en organisation, mål för affärsverksamhet via gästföreläsningar.
4.3	Att planera system	X	X		PRJ1	I: Enklare modellering av arkitektur, hur komponenter passar samman och löser uppgifter, osv. U: Specifikation av mål/krav på systemet.
4.4	Att utveckla system	X	 			Konstruktionsprocessens faser och metodik
4.5	Att realisera system		X	X	PRJ1	Implementation av mjukvara, testning och verfikation, integration av mjukvara och hårdvara.
4.6	Att ta i drift och använda	X				Sätta mjukvara i drift, systemunderhåll och systemförbättring.
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling		 		 	 
5.2	Ekonomiska villkor för forskning och utveckling		 			
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
5.6	Fördjupad insikt i aktuellt forsknings- och utvecklingsarbete					
