CDIO	Beskrivning	Introducera	Undervisa	Använda	Examinera	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen			X		Mängdbegreppen, funktionsbegreppet, logik, träd
1.2	Kunskaper i teknikvetenskapliga ämnen	X	X	X	LAB1, MUN1	I: Samtidighet och låsning U: datamodellering, frågespråk (inkl. SQL), relationsalgebra, programmering mot en databas, transaktioner, presentada hos olika operationer. Modelleringsverktyg och databashanterare. Lagringsstrukturer, avancerade datastrukturer (t.ex. b-trees). Filsystem. A: Programmering och datastrukturer
1.3	Fördjupade kunskaper i något/några tillämpade ämnen		X	X		U: SQL A: programmering i python
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X		LAB1, MUN1	Datamodellering, hur en databas kan skapas för att motsvara ett problem, öppen kontra stängd-världsbild, och hur osäkerhet hanteras i den föregående, kvantitativa uppskattningar av storlek på relationer för presentauppskattning. Hur filer och strukturer kan modelleras från grundläggande lagringsstrukturer (t.ex. block på en hårddisk).
2.2	Experimenterande o kunskapsbildning		X	X	MUN1	U:Test av prestanda hos olika lösningar, lagringsstrukturer och frågor. Hypotes kan t.ex. formuleras från relationalgebra, och sedan prövas denna mot verklig struktur. A: Experimenterade med programming från introkurs.
2.3	Systemtänkande		X		LAB1	Resonemang kring databas och externa program, hur de beror på varandra osv.
2.4	Individuella färdigheter och förhållningssätt		X		MUN1	Kritisk utvärdering av olika datamodeller och olika implementationer av dessa.
2.5	Professionella färdigheter och förhållningssätt	X				Etiska frågeställningar kring vilken typ av data som lagras, hur länge, vad den används till osv. Vad blir konsekvenserna om brister finns? Vilken är den enskilde ingenjörens roll i detta?
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp		 	X	LAB1	Laborationer görs i grupp. Rollfördelning.
3.2	Förmåga att kommunicera		X	X	MUN1	U: Kommunicera datamodeller, t.ex. via E/R-diagram, beroenden mellan relationer, och hur väl en datamodell passar ett problem. A: Beskrivning av mjukvara/system (från projektkurs)
3.3	Förmåga att kommunicera på främmande språk		 	X		Litteratur på engelska
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling	 	X		MUN1	Databaser och datalagring i ett samhällsperspektiv. Vilka regler finns? Vilken data bör man lagra och vad händer om den läcker? Historiska fall.
4.2	Företags och affärsmässiga villkor	X				Utvärdering av olika databashanterarare beroende på situation/problem. Vikten av data för många verksamheter, kort diskussion om OLTP-system, analytics, osv.
4.3	Att planera system		X	X	LAB1, MUN1	U: Insamling av krav på databas, hur dessa påverkar design/modell. Arkitektur, och databashanterarens roll. Hur gränssnitt mellan databashanterar och klientprogram kan definieras. Erfarenheter från systemdesign och programmering från projektkursen
4.4	Att utveckla system	 	X	X	MUN1	De olika faserna i utvecklingen av en databas
4.5	Att realisera system		X		LAB1	Implementation och integration av mjukvara och databas
4.6	Att ta i drift och använda					
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
5.6	Fördjupad insikt i aktuellt forsknings- och utvecklingsarbete					
