CDIO	Beskrivning	Introducera	Undervisa	Använda	Examinera	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen			X		Grafer
1.2	Kunskaper i teknikvetenskapliga ämnen		X	X	LAB1, PRJ1	U: Objektorienterad modellering och programming, verktyg för modellering. A: Programmering och datastrukturer
1.3	Fördjupade kunskaper i något/några tillämpade ämnen		X		LAB1, PRJ1	Java, UML, designmönster
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X		LAB1, PRJ1	Identifikation av problem, och modellering av lösningar till dessa mha objekt
2.2	Experimenterande o kunskapsbildning					
2.3	Systemtänkande		X		PRJ1	Val av designmönster
2.4	Individuella färdigheter och förhållningssätt		X		PRJ1	Kreativt tänkade i modellering, kritisk utvärdering av modeller.
2.5	Professionella färdigheter och förhållningssätt					
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp			X		 Arbete i grupp
3.2	Förmåga att kommunicera		X	X	PRS1	"U: Förmåga att beskriva en objektorienterad modell, motivera val av designmönster, och hur modell/mönster ""löser"" ett problem. Kontrast mellan dokumentation i kod, objektorienterad modell, och faktiska mönster. A: Muntlig och skriftlig presentation"
3.3	Förmåga att kommunicera på främmande språk					
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
4.2	Företags och affärsmässiga villkor					
4.3	Att planera system		X	X	PRJ1, PRS1	Modellering av system och motivering av modellen
4.4	Att utveckla system		X		LAB1, PRJ1	Modelleringens roll vid konstruktion av mjukvara
4.5	Att realisera system		X	X	LAB1, PRJ1	U: Implementation av system från modeller, testning och verifikation.
4.6	Att ta i drift och använda					
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
5.6	Fördjupad insikt i aktuellt forsknings- och utvecklingsarbete					
