CDIO	Beskrivning	Introducera	Undervisa	Använda 	Examinera 	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen			X		Grafer och logik
1.2	Kunskaper i teknikvetenskapliga ämnen		X	X	LAB1, TEN1	U: processer och schemaläggning. Låsningsalgoritmer, asynkron programming, samtidiga datastrukturer. Vanliga ramverk för dessa. A: Programmering och datastrukturer, objektorientering, transaktioner från databaser.
1.3	Fördjupade kunskaper i något/några tillämpade ämnen		X	X		U: Lås och trådar i Java. A: Java
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X		LAB1, TEN1	Identifiera möjliga parallella delar av ett problem/algoritm samt modellera hur dessa kan implementeras asynkront, med hjälp av låsning, osv. Uppskattning av vinst vid parallellisering  (t.ex. Amdahls lag)
2.2	Experimenterande o kunskapsbildning					
2.3	Systemtänkande		X		LAB1, TEN1	Påverkan av parallellism på systemet, olika datastrukturer och låsnings påverkan, osv.
2.4	Individuella färdigheter och förhållningssätt					
2.5	Professionella färdigheter och förhållningssätt					
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp			X		Laborationer utförs i grupp
3.2	Förmåga att kommunicera					
3.3	Förmåga att kommunicera på främmande språk			X		Kurslitteratur på engelska
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
4.2	Företags och affärsmässiga villkor	 	X		LAB1, TEN1	Modellering av parallella system och datastrukturer/låsning. Gränssnitt mot asynkrona funktioner (t.ex. callbacks).
4.3	Att planera system	X				Säkerhet och risker hos parallella program
4.4	Att utveckla system		X		LAB1	Implementation av parallella program i system
4.5	Att realisera system					
4.6	Att ta i drift och använda	X				Grunder i felsökning av parallella program
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
