CDIO	Beskrivning	Introducera	Undervisa	Använda 	Examinera 	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen	X	X	X	LAB1, MUN1	I: Teoretiska grunder för beräkning, t.ex. turingmaskiner. U: Analys av rums och tidskomplexitet hos algoritmer. Komplexitetsklasser och reduktioner mellan algoritmer. A: diskret matematik och analys
1.2	Kunskaper i teknikvetenskapliga ämnen	X	X	X	LAB1, MUN1	I: Parallella algoritmer U: Algoritmer och datastrukturer. Metoder för att konstruera algoritmer, t.ex. girig och dynamisk programmering. Programmering och objektorientering, enklare datastrukturer.
1.3	Fördjupade kunskaper i något/några tillämpade ämnen					
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X		LAB1, MUN1	Uppskattning av hur väl approximativa algoritmer passar för ett problem. Modellering med hjälp av befintliga algoritmer för problem, samt resonemang om deras lämplighet, t.ex. med avseende på komplexitet.
2.2	Experimenterande o kunskapsbildning		X		MUN1	Hypoteser kring en algoritms beteende utifrån dess komplexitet jämförs med dess presentanda i praktiken. Hur väl fungerar approximativa algoritmer för ett givet problem, osv.
2.3	Systemtänkande		X		LAB1, MUN1	Exakta kontra approximativa lösningar. Kvalitet hos implementationer, samt hur reduktioner kan snabba upp en implementation. När passar en viss datastruktur bättre än en annan, med avseende på systemets behov.
2.4	Individuella färdigheter och förhållningssätt		X		MUN1	Kreativt och kritiskt tänkade vid konstruktion av algorimter och härledning av dess komplexitet.  Lösa algoritm/programmeringsproblem vid en whiteboard
2.5	Professionella färdigheter och förhållningssätt					
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp			X		Arbete i grupp
3.2	Förmåga att kommunicera		X	X	MUN1	Förmåga att beskriva algoritmer och termer från algoritmanalys. Skillnad i att beskriva program, algoritm, och modell. A: Kommunikation av mjukvara/program/modeller. 
3.3	Förmåga att kommunicera på främmande språk			X		Kurslitteratur på engelska
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling		X		LAB1, MUN1	Vilka problem kan vi lösa, vad är kostnaden för olika lösningar, osv. Hur kan valet av algoritm/datastrukturer har en påverkan på samhället, t.ex. hållbarhet/miljö.
4.2	Företags och affärsmässiga villkor					
4.3	Att planera system					
4.4	Att utveckla system		X		LAB1	Implementation av algoritmer och datastrukturer
4.5	Att realisera system	X	X		LAB1	I: Verifikation av algortimer, U: Analys av en implementaiton (av algoritm/datastrukturs) egenskaper kontra förväntningar.
4.6	Att ta i drift och använda					
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
