CDIO	Beskrivning	Introducera	Undervisa	Använda 	Examinera 	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen			X		Viss matematik kan förekomma beroende på projekt
1.2	Kunskaper i teknikvetenskapliga ämnen		X	X		A: Programmering, objektorienterad modellering. U: Administration av driftsmiljö, verktyg för driftsättning
1.3	Fördjupade kunskaper i något/några tillämpade ämnen					
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X		PRJ1	Identifiera problem och hitta rimliga lösningar (algoritmer/datastrukturer) till dessa. Modellering, både av mjukvara och av andra fenomen som måste finnas med i systemet (t.ex. matematisk modell av sensordata). Analysera osäkerheter i lösningen/modeller och hitta sätt att uppskatta dessa, t.ex. felmarginaler. Identifiera risker i systemet, t.ex. okända krav, ny teknik, osv.
2.2	Experimenterande o kunskapsbildning					
2.3	Systemtänkande		X		PRJ1	Prioritering av funktionalitet, minimum viable product, osv.
2.4	Individuella färdigheter och förhållningssätt		X		PRJ1, UPG1	Planering av tid och resurser, både på gruppnivå och individuellt. Eget lärande, inom gruppen, för att lösa problemen, t.ex. lära sig nya ramverk eller tekniker. Hur kan individens kunskaper förmedlas till gruppen. Hur hanteras/uttrycks egen ambition, och hur ställs den mot gruppen? Vem skall anpassa sig och hur?
2.5	Professionella färdigheter och förhållningssätt		X		UPG1	Reflektion över det egna beteendet i gruppen, med avseende på professionellt uppträdande, ansvar, pålitlighet, osv.
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp		X		PRJ1, UPG1	Hur skapar man en effektiv grupp, trots olika färdigheter och förmågor. Hur skapar man en kultur i gruppen som fungerar? Hur integrerar man olika typer of personer i gruppen, t.ex. med avseende på kön eller härkomst. 
3.2	Förmåga att kommunicera		X	X	PRJ1, UPG1	U: Hur undviks konflikter genom kommunikation? Om de uppstår, hur hanteras de? Hur dokumenteras projekt, t.ex. krav, tester, osv. Hur skrivs instruktioner för system. Kommunikation med kunder/stakeholders hos system. A: Förmåga att visa/beskriva/dokumentera mjukvara, modellering och mönster.
3.3	Förmåga att kommunicera på främmande språk			X		Engelsk kurslitteratur
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling		X		UPG1	Vilken är ingenjörens roll i ett samhällsperspektiv. Vilka värderingar har studenten och hur passar de in den framtida arbetssituationen.  Hur har dessa förändrats genom grupparbetet. Hur ser den (främst sociala) hållbarheten ut, från t.ex. multidisciplinära grupper/projekt. Hur påverkar mjukvara och dess utvecklingen samhället? Vilka ambitioner hade det egna projektet, och hur kan de sättas in i ett större perspektiv?
4.2	Företags och affärsmässiga villkor	X	X		PRJ1, UPG1	I: Affärsperspektiv. Hur fungerar mjukvaruindustrin och dess ekonomi. U: Hur arbetar man i en mjukvaruorganisation, vilka vertyg används, varför, osv.
4.3	Att planera system	X	X	X	PRJ1, UPG1	I: Mjukvaru och systemarkitektur, behov av den. Återkoppling till modellering och designmönster. U: Hur definieras och dokumenteras krav på ett mjukvarusystem. Hur arbetar man med dessa, t.ex. uppskattning av tid/kostnad, prioritering, osv. U: Erfarenheter från krav från tidigare projekt.
4.4	Att utveckla system	X	X		PRJ1, UPG1	I: Olika typer av metodiker för projekt (vattenfall, spiral, osv). U: Agila metoder för utveckling, utvecklingsprojekts olika faser (oavsett metodik), osv.
4.5	Att realisera system		X		PRJ1, UPG1	Hur anpassar man en metodik till det faktiska projektet/gruppen (val av agile practices, t.ex.). Hur realiseras metodiken, t.ex. med verktyg? Vilka erfarenheter fick man av  detta? Implementation av mjukvara i ett system som löser en uppgift åt en hypotetisk kund. Test och verifikation av systemet mot krav. Hur väl uppfyller systemet funktionella och icke-funktionella krav?
4.6	Att ta i drift och använda	X	X		PRJ1	I: Hur driftsätts ett system. Hur kan det automatiseras. Vinster med detta. U: Underhåll av system, felsökning och uppdatering.
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
