CDIO	Beskrivning	Introducera	Undervisa	Använda 	Examinera 	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen					
1.2	Kunskaper i teknikvetenskapliga ämnen		X	X	UPG1, PRJ1, HEM1	U: Olika typer av mjukvaruarkitekturer och arkitekturmönster, begrepp inom området, vilka egenskaper (t.ex. kvalitet) en arkitektur möjliggör A: Objektorienterad modellering, designmönster.
1.3	Fördjupade kunskaper i något/några tillämpade ämnen					
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X	X	UPG1, PRJ1, HEM1	U/A: Förmåga att känna igen ett designproblem och att hitta lämplig arkitektur/mönster för att modellera det. Skillnad/likhet mellan arkitektur och objektorienterad design.
2.2	Experimenterande o kunskapsbildning					
2.3	Systemtänkande		X		UPG1, PRJ1, HEM1	Förståelse för olika typer av arkitekturer och vilka egenskaper de har (för systemet). Kunskap att väga mellan olika alternativ och motivera val. Vilka egenskaper måste prioriteras och vilka kompromisser måste göras. Mjukvaruåteranvändning och produktfamiljer.
2.4	Individuella färdigheter och förhållningssätt		X		PRJ1, HEM1	Förmåga att välja en lämplig arkitektur, trots att allt om systemet (t.ex. krav) inte är känt.
2.5	Professionella färdigheter och förhållningssätt					
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp		X	X	PRJ1, HEM1	U: Gränssnitt mellan delar av en arkitektur, hur kan arbete fördelas och vad krävs för leveranser? A: Projekt sker i grupp
3.2	Förmåga att kommunicera		X	X	UPG1, PRJ1, HEM1	U: Använda arkitektur och begrepp för att beskriva ett system och dess egenskaper, kommunicera kvaliteter hos det, osv. Använda arkitektur som ett sätt att dokumentera aspekter hos ett mjukvarusystem, t.ex. beroenden mellan komponenter. A: Rapportskrivning, förmåga att kommunicera modeller (data, objektorienterade)
3.3	Förmåga att kommunicera på främmande språk			X		Kurslitteratur på engelska
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling	X				Problem/samhällskostnader av mjukvaruutveckling och hur arkitektur och återanvändning relaterar till detta.
4.2	Företags och affärsmässiga villkor		X		PRJ1, HEM1	Produktfamiljer och återanvändning av mjukvara/mjukvarukomponenter.
4.3	Att planera system		X	X	UPG1, PRJ1, HEM1	U: Definition av ett systems arkitektur, hur mål och krav kopplas mot arkitektur, hur olika arkitekturer uppfyller olika krav/mål. A: Krav på system
4.4	Att utveckla system	 	X		PRJ1, HEM1	Hur produktfamiljer och återanvändning kan användas i utveckling av system, samt hur arkitekturer påverkas av detta.
4.5	Att realisera system	X				Hur en arkitektur kan implementas/realisieras i mjukvara och hårdvara.
4.6	Att ta i drift och använda					
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
