CDIO	Beskrivning	Introducera	Undervisa	Använda	Examinera	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen		X	X	HEM1, LAB1, PRJ1	U: Kan ett antal uppgifter schemaläggas så att kraven (t.ex. sluttid) uppfylls. A: Linjär algebra och analys. Logik
1.2	Kunskaper i teknikvetenskapliga ämnen		X	X	HEM1, LAB1, PRJ1	U: Realtidskrav (hård/mjuk), periodiska uppgifter, schemaläggning så att realtidskrav uppfylls. prioritet och prioriteringsschemaläggning. Konsekvenser av schemaläggning, vilka effekter de kan och hur de unviks (t.ex priority inversion). Interface mellan hårdvara och mjukvara, avbrottshantering, och drivrutiner. Hur hårdvara kan styras från mjukvara. A: Programmering, samtidig programmering, låsning, samtidiga datastrukturer, hur datorn fungerar.
1.3	Fördjupade kunskaper i något/några tillämpade ämnen					
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X		HEM1	Definiera ett schemaläggningsproblem och modellera. Resonera kring om det kan uppfyllas, med vilken säkerhetsmarginal, osv.
2.2	Experimenterande o kunskapsbildning		X		LAB1, PRJ1	Testa schemaläggningsbarhet teoretiskt och praktiskt.
2.3	Systemtänkande		X		HEM1, PRJ1	Hur påverkar schemaläggningen ett systems egenskaper. Vilka kompromisser måste göras i olika typer av realtidssystem.
2.4	Individuella färdigheter och förhållningssätt					
2.5	Professionella färdigheter och förhållningssätt					
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp			X		Projekt i grupp
3.2	Förmåga att kommunicera					
3.3	Förmåga att kommunicera på främmande språk			X		Kursen ges på engelska
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling	X				Risker med inbyggda och realtidssystem, ingenjörens roll och ansvar i dessa situationer. 
4.2	Företags och affärsmässiga villkor					
4.3	Att planera system		X		PRJ1	Planering av det inbyggda systemet, den hårdvara det skall styra (via drivrutiner), kopplingar mellan hårdvara/mjukvara, realtidskrav och schemaläggning. Kontroll så att schemaläggningen uppfyller samtliga krav.
4.4	Att utveckla system		X	X	PRJ1	U: Faser för utveckling av ett inbyggt system med realtidskrav. A: Faser och metodik för mjukvaruutveckling
4.5	Att realisera system		X		PRJ1	Implementation och verifikation av ett inbyggt realtidssystem som skall lösa en uppgift. Implementation av mjukvara som styr en hårdvara.
4.6	Att ta i drift och använda					
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
5.6	Fördjupad insikt i aktuellt forsknings- och utvecklingsarbete					
