CDIO	Beskrivning	Introducera	Undervisa	Använda	Examinera	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen		X	X		U: Projiceringar av 2d/3d-objekt, transformationer av 2d/3d-objekt. A: Matrisberäkningar och analys
1.2	Kunskaper i teknikvetenskapliga ämnen		X	X	LAB1, UPG1	U: Rastergrafik och algoritmer för att rita 2d/3d-objekt, datastrukturer för att representera en hierarki av 2d/3d-objekt, algoritmer för att transformera objekt, t.ex. enligt kamera/vy, rendrering av 3d-objekt och ljudmodeller, osv. Pipeline för att rendrera grafik och hur grafikkort fungerar. A: Datastrukturer, algoritmer, objektorienterad programmering
1.3	Fördjupade kunskaper i något/några tillämpade ämnen		X	X	LAB1	U: Programmering i OpenGL (grafikapi) A: programming
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X	X	LAB1, UPG1	"U: Identifiera problem i att representera/""rita"" objekt, t.ex. linjer, med hjälp av rastergrafik. U/A: Modellera olika representationer av t.ex. kurvor. "
2.2	Experimenterande o kunskapsbildning			X		Litteratursökning för självstudier i OpenGL
2.3	Systemtänkande		X	 	LAB1	Samspel mjukvara/hårdvara,  t.ex. grafikkort och bildskärm. Avvägningar i olika algoritmer, t.ex. med avseende på bildkvalitet och prestanda.
2.4	Individuella färdigheter och förhållningssätt			X		Självstudier i OpenGL
2.5	Professionella färdigheter och förhållningssätt			 		
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp			X		Arbete i par
3.2	Förmåga att kommunicera					
3.3	Förmåga att kommunicera på främmande språk			X		Kursen ges på engelska
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
4.2	Företags och affärsmässiga villkor					
4.3	Att planera system					
4.4	Att utveckla system	 	X	X		U/A: Studenterna kommer att implementera en rad grafiska applikationer och testa/utvärdera dessa.
4.5	Att realisera system					
4.6	Att ta i drift och använda					
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
5.6	Fördjupad insikt i aktuellt forsknings- och utvecklingsarbete					
