CDIO	Beskrivning	Introducera	Undervisa	Använda	Examinera	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen		X	X	TEN1	U: Modulering, multiplexing av signaler A: Elektrisitet, elektriska egenskaper hos material, störning. Grafer
1.2	Kunskaper i teknikvetenskapliga ämnen		X	X	LAB1, TEN1	U: Hur data kan skickas via analoga signaler, nätverksstacken och olika modeller för den (ISO OSI, TCP/IP), varje lagers uppgift och problem, vanliga tjänster och protokoll (t.ex. HTTP, ICMP, etc.), standarder (IEEE 801.X), felhantering och felkorrigering. Routing på olika nivåer, algoritmer och protokoll. A: Graf/träd-algoritmer och deras komplexitet, programmering, datastrukturer, samtidig programmering, filhantering. Lagerarkitektur.
1.3	Fördjupade kunskaper i något/några tillämpade ämnen		X		LAB1	Programmering av socket-API, routing och routing-protokoll.
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X		TEN1	Modellering av fel och uppskattningar av hur väl algoritmer kan hitta/korrigera fel (t.ex. CRC-32). Modellering av prestanda på närverk, t.ex. med avseende på tappade packet, kömodeller, osv.
2.2	Experimenterande o kunskapsbildning		X		LAB1	Modellering och simulering av nätverk
2.3	Systemtänkande		X		TEN1	Nätverksstacken (ISO OSI, t.ex.) och hur en lagerarkitektur kan implementas. Kompabilitet och hur beslut kan tas antingen lokalt eller centralt, samt hur det påverkar vilka besult som kan tas. Olika avvägningar/kompromisser i stacken, t.ex. caching på olika nivåer.  Liknande problem och lösningar på flera olika lager, men med viss skillnad (t.ex. namngivning, hur en mottagare hittas, etc.). De val som gjorts för att hålla internet stabilt.
2.4	Individuella färdigheter och förhållningssätt		X		LAB1	Förmåga att hitta och läsa specifikationer på nätverksprotokoll samt implementera dessa.
2.5	Professionella färdigheter och förhållningssätt					
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp			X		Laboration i grupp.
3.2	Förmåga att kommunicera					
3.3	Förmåga att kommunicera på främmande språk			X		Kurslitteratur på engelska
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling	 	X		TEN1	U: Nätverks inverkan på samhället, och konsekvenser/begränsningar av länge levande stora system. Diskussion kring hur val under osäkerhet kan ha stor påverkan, samt vilka begränsningar som finns att lösa dem (IPv4, t.ex.). Svårigheten av att införa ändringar. Teknisk hållbarhet. Historiska perspektiv,  hur datornät uppstod i olika miljöer, och hur dessa miljöer formade kraven. U: 
4.2	Företags och affärsmässiga villkor					
4.3	Att planera system		X		LAB1	Specifikation av nätverksprotokoll och tjänster.
4.4	Att utveckla system		X		LAB1	Speficikation av enklare nätverksprotokoll
4.5	Att realisera system		X		LAB1	Implementation av befintliga nätverksprotokoll (t.ex. HTTP) och test mot tredjepartsmjukvara (t.ex. webbläsare).
4.6	Att ta i drift och använda					
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
5.6	Fördjupad insikt i aktuellt forsknings- och utvecklingsarbete					
