CDIO	Beskrivning	Introducera	Undervisa	Använda	Examinera	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen			X		Beror på ämne för uppsats
1.2	Kunskaper i teknikvetenskapliga ämnen			X		Beror på ämne för uppsats
1.3	Fördjupade kunskaper i något/några tillämpade ämnen			X		Beror på ämne för uppsats
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X	X	UPP1	U/A: Förmåga att identifiera ett vetenskapligt problem och formulera frågor.  Förmåga att genomföra en kvalitativ och/eller kvantitativ analys av insamlad data, dra slutsatser och resonera kring deras giltighet, t.ex. med avseende på osäkerhet och risker/hot. Leverera slutsats baserat på analys av data och ge rekommendationer för fortsatt arbete.
2.2	Experimenterande o kunskapsbildning		X	X	UPP1	U/A: Förmåga att formulera och pröva hypoteser. Sökning av litteratur/vetenskapliga artiklar.
2.3	Systemtänkande					
2.4	Individuella färdigheter och förhållningssätt		X	X	UPP1	U/A: Förmåga att planera tid/resurser. Kritiskt och kreativt tänkande.
2.5	Professionella färdigheter och förhållningssätt		X	X	UPP1	U/A: Vetenskaplig etik/integritet.
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp					
3.2	Förmåga att kommunicera		X	X	OPP1	U: Muntlig och skriftlig opponering på vetenskapliga arbeten. U/A: Förmåga att skriva en vetenskaplig rapport och presentera denna.
3.3	Förmåga att kommunicera på främmande språk			X		Läsa vetenskapliga artiklar
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling		X		UPP1	Forskningsprojektet relevans för det omgivande samhället
4.2	Företags och affärsmässiga villkor					
4.3	Att planera system					
4.4	Att utveckla system					
4.5	Att realisera system					
4.6	Att ta i drift och använda					
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling		X		UPP1	Förhållande till annan aktuell forskning inom fältet. Frågor, t.ex. angående etik, ur ett samhällsperspektiv inom det aktuella området (t.ex. vilka uppgifter kan samlas in). Behovet av forskning inom fältet/området för samhället, hur påverkar resultatet.
5.2	Ekonomiska villkor för forskning och utveckling		 	 	 	 
5.3	Att planera forsknings- och utvecklingsprojekt	X	X	 	UPP1	I: Ledning av forskningsprojekt. U: Planera ett forskningsprojekt, med delmål. Strukturera delmål för att uppnå slutmålet.
5.4	Att genomföra forsknings- och utvecklingsprojekt		X	X	UPP1	U: Val och användning av forskningsmetodik. Experiment. Samspel mellan teoretisk och experimentiell/applicerad forskning. Test och verifikation av resultat. A: Forskningsmetodik
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
5.6	Fördjupad insikt i aktuellt forsknings- och utvecklingsarbete		X	X	UPP1	
