CDIO	Beskrivning	Introducera	Undervisa	Använda 	Examinera 	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen		X	X	TEN1, LAB1	U: Dimensionsreduktion, Bayes teorem, regression, "kernel methods", klustring, SVM, neurala nätverk A: Linjär algebra (t.ex matrix- och vektor-operationer), sannolikhet, slumpvariabler, betingad sannolikhet, gradienter, partiella derivator
1.2	Kunskaper i teknikvetenskapliga ämnen		X	X	TEN1, LAB1	U: grunder i maskininlärning, särdragsval/modellering, beslutsträd, dataextraktion, korsvalidering, bias, varians A: programmering, datorns uppbyggnad (vektoroperationer)
1.3	Fördjupade kunskaper i något/några tillämpade ämnen			X	LAB1	A: matlab
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X		TEN1, LAB1	Förmåga att identifiera ett problem som lämligen kan lösas via maskininlärning, val av särdrag, val av lämplig metod/algoritm. Val av träningsdata, testdata, osv. Vanliga metriker för att utvärdera prestanda.
2.2	Experimenterande o kunskapsbildning		X		LAB1	Experimentera med olika storlekar på träningsdata, olika särdrag, osv. Starkt experimentdrivet ämne. Över- och underanpassning
2.3	Systemtänkande		X		TEN1	Egenskaper hos olika algoritmer, var/hur maskininlärning kan användas i ett system.
2.4	Individuella färdigheter och förhållningssätt					
2.5	Professionella färdigheter och förhållningssätt	X				Etik kring vad/hur klassificerare tränas. Vad händer om de gör fel, vilka är riskerna osv.
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp			X		Laborationer sker i grupp
3.2	Förmåga att kommunicera		X	X	TEN1, LAB1	U: Förmåga att kommunicera egenskaper hos maskininlärningsimplementationer, t.ex. via etablerade mått såsom förvirringsmatris  A: Rapportskrivning
3.3	Förmåga att kommunicera på främmande språk			X		Kurs ges på engelska
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling	X	 			Maskininlärnings påverkan på samhället, vad blir konsekvenserna av utbredd artificiell intelligens, vilka faror finns osv. Hur regleras det, bör det regleras, osv.
4.2	Företags och affärsmässiga villkor		X		UPG1	Hur maskininlärning används i industrin, vilka ekonomiska fördelar det har osv. Kostnad för datainsamling.
4.3	Att planera system	 	X	 	LAB1	Planering av vilken data/särdrag som behövs samt hur mycket.
4.4	Att utveckla system	 	X		TEN1, LAB1	Förståelse för kostruktionsprocessen kring system för maskininlärning, med datamodellering, träning, utvärdering.  Hur domänexperter kan användas (multidisciplinär konstruktion).
4.5	Att realisera system		 			
4.6	Att ta i drift och använda	X	 			Diskussion kring utvärdering och förbättring av prestanda
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
