CDIO	Beskrivning	Introducera	Undervisa	Använda 	Examinera 	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen			X		Vektorer och matriser, sannolikhetsfördelningar, vektorvärda funktioner, kedjereglen, partiella derivator
1.2	Kunskaper i teknikvetenskapliga ämnen		X	X	TEN1, LAB1, PRS1	U:  neuronnät, faltningsneuronnät, återkommande nätverk, anpassning av hyperparametrar, reglering, långt korttidsminne (LTSM), reinforcement learning.  A: Statistisk maskininläning programmering
1.3	Fördjupade kunskaper i något/några tillämpade ämnen		X	X	LAB1, PRS1	U: Fördjuping i olika arkitkturer för neurala nät och deras tillämpning, verktyg för att skapa neural nät, t.ex. tensorflow. A: Python, programmering för grafikprocessorer (CUDA).
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X	X	TEN1, LAB1	U: Identifiera vilken typ av neuronnät/lärande som bäst lämpar sig för ett problem. Jämför mot  inlärningsmetoder som inte baseras på neuronnät och optimeringsmetoder. Implementation på grafikprocessor, vilka vinster, när lämpar det sig bäst. Uppskattning av hur mycket minne som behövs, etc. A: metoder från problem från den tidigare kursen i maskininlärning.
2.2	Experimenterande o kunskapsbildning		X	X	LAB1	U: Experimentera med olika arkitekturer för neuronnät. A: Dataanvändning (träningsset/test, osv), validering.
2.3	Systemtänkande		X	X	TEN1	U: val/motivering av arkitektur. Fördelar och nackdelar med olika val. A: var/hur maskininlärning kan användas i ett system.
2.4	Individuella färdigheter och förhållningssätt		X	 	PRS1	Förmåga att tillgodose sig forskningsresultat inom maskininlärning samt att kritiskt granska dessa.
2.5	Professionella färdigheter och förhållningssätt					
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp		 	X	LAB1, PRS1	Arbete sker i grupp
3.2	Förmåga att kommunicera		X		PRS1	Presentation av vetenskaplig artikel inom maskininlärning. Opponering på annan artikel/presentation.
3.3	Förmåga att kommunicera på främmande språk		X	X	PRS1	U: Presentation på engelska A: Kursen ges på engelska
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling	X		 		Maskininlärnings påverkan på samhället, vad blir konsekvenserna av utbredd artificiell intelligens, vilka faror finns osv. Hur regleras det, bör det regleras, osv.
4.2	Företags och affärsmässiga villkor					
4.3	Att planera system			X		Förmåga att planera maskininlärningsstrategier och pipeline för projekt.
4.4	Att utveckla system		 	X	 	Förmåga att modellera hur maskininlärniningen skall se hur och hur den placeras inom projektet.
4.5	Att realisera system		X		LAB1	Effektiv implementation av olika algoritmer på hårdvara. Test och verifikation av  prestanda hos systemet.
4.6	Att ta i drift och använda		X		LAB1	Optimering och förbättring av maskininlärningen baserat på systemets prestanda, tillgänglig data, osv.
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling	X				Maskininlärnings påverkan på samhället, vad blir konsekvenserna av utbredd artificiell intelligens, vilka faror finns osv. Hur regleras det, bör det regleras, osv.
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt					
5.4	Att genomföra forsknings- och utvecklingsprojekt					
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt	X				Presentation av vetenskaplig artikel
