Mål 	Beskrivning 	1.1	1.2	1.3	2.1	2.2	2.3	2.4	2.5	3.1	3.2	3.3	4.1	4.2	4.3	4.4	4.5	4.6	5.1	5.2	5.3	5.4	5.5	5.6
A.1	visa kunskap och förståelse inom huvudområdet, inbegripet kunskap om områdets vetenskapliga grund, kunskap om tillämpliga metoder inom området, fördjupning inom någon del av området samt orientering om aktuellt forsknings‐ och utvecklingsarbete		X	X															X	X		X	
A.2	visa kunskap i matematik och naturvetenskap	X																					
B.1	visa förmåga att söka, samla, värdera och kritiskt tolka relevant information i en problemställning samt att kritiskt diskutera företeelser, frågeställningar och situationer				X	X	 	X															
B.2	visa förmåga att självständigt identifiera, formulera och lösa problem samt att analysera och utvärdera olika tekniska lösningar			X	X	X	X	X						X	 	 	 	 					
B.3	visa förmåga att självständigt planera, genomföra, och redovisa uppgifter inom givna ramar			 	X	X	X	X			X										X	X	X
B.4	visa sådan färdighet som fordras för att självständigt arbeta inom det område som utbildningen avser			X	X	X	X	X	X	X					X	X	X	X		 	 	 	 
B.5	visa förmåga att integrera och använda kunskap,				X	X	X	X												 	 	 	  
B.6	visa förmåga att kritiskt diskutera företeelser, frågeställningar och situationer, samt modellera skeenden med utgångspunkt i relevant information				X	X	X	X					 	 	 	 	 	 					
B.7	visa förmåga att beskriva och utveckla förslag till enklare produkter, processer och system med hänsyn till människors förutsättningar och behov och samhällets mål för ekonomiskt, socialt och ekologiskt hållbar utveckling									 			X	X	X	X	X	X					
B.8	visa förmåga att i samarbete planera, genomföra och redovisa givna uppgifter			X	X	X	X	X															
B.9	visa förmåga att på svenska, och i viss mån även på engelska, muntligt och skriftligt redogöra för och diskutera information, problem och lösningar i dialog med olika grupper									X	X	X											X
C.1	visa förmåga att inom huvudområdet för utbildningen göra bedömningar med hänsyn till relevanta vetenskapliga, samhälleliga och etiska aspekter								X				 						X				
C.2	visa insikt om kunskapens och teknikens roll i samhället, och om människors ansvar för hur de används		X	X					X				X					X	X				
C.3	visa förmåga att identifiera sitt behov av ytterligare kunskap och att utveckla sin kompetens							X	X														
